FECHA,PROMEDIO
2015-08-05,1612.13585925683
2015-08-12,1615.13997574402
2015-08-19,1617.90464628558
2015-08-26,1620.30288469447
2015-09-02,1622.20770478366
2015-09-09,1623.49212036612
2015-09-16,1624.06270150585
2015-09-23,1623.96024327098
2015-09-30,1623.25909698065
2015-10-07,1622.03361395404
2015-10-14,1620.35814551031
2015-10-21,1618.29879947789
2015-10-28,1615.88870972245
2015-11-04,1613.15276661892
2015-11-11,1610.11586054225
2015-11-18,1606.80288186737
2015-11-25,1603.23872096923
2015-12-02,1599.44826822277
2015-12-09,1595.45641400294
2015-12-16,1591.28804868467
2015-12-23,1586.96179248235
2015-12-30,1582.47118496808
2016-01-06,1577.80349555342
2016-01-13,1572.94599364992
2016-01-20,1567.88594866912
2016-01-27,1562.61063002258
2016-02-03,1557.11954188991
2016-02-12,1551.47585013993
2016-02-17,1545.81384587751
2016-02-24,1540.28254282453
2016-03-02,1535.03095470285
2016-03-09,1530.20809523434
2016-03-16,1525.96297814085
2016-03-23,1522.44461714427
2016-03-30,1519.80202596646
2016-04-06,1518.18421832928
2016-04-13,1517.71039529984
2016-04-20,1518.38050732624
2016-04-27,1520.16469220179
2016-05-04,1523.03308771984
2016-05-11,1526.95583167371
2016-05-18,1531.90306185672
2016-05-25,1537.84491606222
2016-06-01,1544.75153208353
2016-06-08,1552.59304771398
2016-06-15,1561.28114678963
2016-06-22,1570.49369731744
2016-06-29,1579.8501133471
2016-07-06,1588.99059159913
2016-07-13,1597.65650350912
2016-07-20,1605.68217931081
2016-07-27,1612.91999326974
2016-08-03,1619.22231965147
2016-08-12,1624.44153272155
2016-08-17,1628.43000674554
2016-08-24,1631.04011598898
2016-08-31,1632.12423471743
2016-09-07,1631.53473719644
2016-09-14,1629.12399769157
2016-09-21,1624.74439046836
2016-09-28,1618.32150027574
2016-10-05,1610.0737537961
2016-10-12,1600.2927881952
2016-10-19,1589.27024063878
2016-10-26,1577.29774829262
2016-11-02,1564.66694832247
2016-11-09,1551.64487219893
2016-11-16,1538.40012861196
2016-11-23,1525.07672055637
2016-11-30,1511.81865102697
2016-12-07,1498.76992301857
2016-12-14,1486.07453952597
2016-12-21,1473.87650354398
2016-12-28,1462.3198180674
2017-01-04,1451.54848609105
2017-01-11,1441.69323150701
2017-01-18,1432.83166179652
2017-01-25,1424.9933747688
2017-02-01,1418.05312568582
2017-02-08,1411.78725815971
2017-02-15,1405.95619553249
2017-02-22,1400.32036114615
2017-03-03,1394.6902498905
2017-03-08,1389.0766428465
2017-03-15,1383.54039264289
2017-03-22,1378.14925229319
2017-03-29,1372.99857634996
2017-04-05,1368.19061975053
2017-04-12,1363.82763743222
2017-04-19,1360.01757163315
2017-04-26,1356.8911137945
2017-05-03,1354.58464265828
2017-05-10,1353.23453696645
2017-05-17,1352.97717546101
2017-05-24,1353.94893688392
2017-05-31,1356.28619997718
2017-06-07,1360.12534348277
2017-06-14,1365.56210678941
2017-06-21,1372.52360303111
2017-06-28,1380.87203062192
2017-07-05,1390.46351913421
2017-07-12,1401.15419814035
2017-07-19,1412.8001972127
2017-07-26,1425.25764592364
2017-08-02,1438.38267384552
2017-08-09,1452.03141055072
2017-08-16,1466.06368330135
2017-08-23,1480.35411011846
2017-09-06,1494.78100671284
2017-09-13,1509.22268879529
2017-09-20,1523.5471669285
2017-09-27,1537.58123108268
2017-10-04,1551.14136607992
2017-10-11,1564.04405674234
2017-10-18,1576.10578789204
2017-10-25,1587.17742746149
2017-11-01,1597.20758018495
2017-11-08,1606.02005134804
2017-11-15,1613.39885059663
2017-11-22,1619.12798757658
2017-11-29,1622.99147193378
2017-12-06,1624.77331331408
2017-12-13,1624.25752136336
2017-12-20,1621.22810572749
2017-12-27,1615.51660514619
2018-01-03,1607.14467473454
2018-01-10,1596.16383707883
2018-01-17,1582.55496827474
2018-01-24,1566.39284698688
2018-01-31,1548.19850864629
2018-02-07,1528.60455287558
2018-02-16,1508.27021302456
2018-02-21,1487.96125735174
2018-02-28,1468.47008784282
2018-03-07,1450.58910648351
2018-03-14,1435.1107152595
2018-03-21,1422.80410448165
2018-03-28,1414.34561776152
2018-04-06,1410.27082573321
2018-04-11,1410.64505382043
2018-04-18,1415.41606614428
2018-04-25,1424.36327542962
2018-05-04,1436.59268881627
2018-05-09,1451.04196204783
2018-05-16,1466.64875086788
2018-05-23,1482.39503469887
2018-05-30,1497.49747346079
2018-06-06,1511.44659388087
2018-06-13,1523.79030846839
2018-06-20,1534.07652973266
2018-06-27,1541.96861850745
2018-07-04,1547.60071542885
2018-07-11,1551.25835547495
2018-07-18,1553.23606012822
2018-07-25,1553.82835087113
2018-08-01,1553.29566046616
2018-08-08,1551.76206679587
2018-08-15,1549.31755902283
2018-08-22,1546.05212630959
2018-08-29,1542.07178470796
2018-09-05,1537.54019988006
2018-09-12,1532.61123259111
2018-09-19,1527.43228565978
2018-09-26,1522.13040605798
2018-10-03,1516.75121737047
2018-10-10,1511.3480784098
2018-10-17,1506.08671228667
2018-10-24,1501.1609331863
2018-10-31,1496.76455529394
2018-11-07,1493.09139279483
2018-11-16,1490.3352598742
2018-11-21,1488.6899707173
2018-11-28,1488.34933950935
2018-12-05,1489.41965614103
2018-12-12,1491.65711332472
2018-12-19,1494.73037947825
2018-12-26,1498.30812301943
2019-01-04,1502.05901236608
2019-01-09,1505.65171593603
2019-01-16,1508.75490214709
2019-01-23,1511.04570746623
2019-01-30,1512.23514055704
2019-02-06,1512.04267813226
2019-02-13,1510.22097832235
2019-02-20,1506.77888816918
2019-02-27,1502.25228909452
2019-03-08,1497.30052576064
2019-03-13,1492.58294282983
2019-03-20,1488.75888496438
2019-03-27,1486.48769682658
2019-04-05,1486.42872307871
2019-04-10,1489.29022283438
2019-04-17,1495.97611301244
2019-04-24,1507.44252902268
2019-05-01,1524.65882243349
2019-05-08,1548.59764885292
2019-05-15,1579.95934662074
2019-05-22,1618.2973588443
2019-05-29,1662.66230672465
2019-06-05,1712.0471853034
2019-06-12,1765.44498962211
2019-06-19,1821.84871472237
2019-06-26,1880.25135564576
2019-07-03,1939.50627639682
2019-07-10,1997.46524831171
2019-07-17,2050.06813760848
2019-07-24,2093.25748776514
2019-07-31,2124.75882538061
2019-08-07,2142.743422834
2019-08-14,2145.38255250444
2019-08-21,2131.60717572029
2019-08-28,2103.38700960673
2019-09-04,2063.45146023817
2019-09-11,2014.52993368902
2019-09-18,1959.35183603367
2019-09-25,1900.64657334654
2019-10-02,1841.14355170204
2019-10-09,1783.43274000117
2019-10-16,1729.35703371033
2019-10-23,1679.86259215823
2019-10-30,1635.7062499325
2019-11-06,1597.64484162079
2019-11-13,1566.43520181071
2019-11-20,1542.53374936952
2019-11-27,1525.15213424749
2019-12-04,1513.0291665331
2019-12-11,1504.86055027949
2019-12-18,1499.34198953979
2019-12-27,1495.16918836716
2020-01-03,1491.03785081471
2020-01-08,1485.64368093559
2020-01-15,1477.85924769437
2020-01-22,1467.26457970128
2020-01-29,1453.61657047801
2020-02-05,1436.67211354624
2020-02-12,1416.18810242763
2020-02-19,1392.15540437038
2020-02-28,1365.50728595194
2020-03-04,1337.43700516935
2020-03-11,1309.14432444292
2020-03-18,1281.82900619293
2020-03-25,1256.68056148922
2020-04-01,1234.84749599969
2020-04-08,1217.43578004685
2020-04-15,1205.42224797346
2020-04-22,1199.58400339828
2020-05-01,1200.02836302378
2020-05-08,1206.69519682336
2020-05-13,1219.5243747704
2020-05-20,1238.43892516505
2020-05-29,1263.21598904225
2020-06-03,1293.30178347458
2020-06-24,1328.06400496237
2020-07-01,1366.87035000591
2020-07-10,1408.83701284556
2020-07-15,1452.0741786817
2020-07-22,1494.52367039595
2020-07-29,1534.45987063475
2020-08-05,1570.24030198577
2020-08-12,1600.22248703664
2020-08-26,1623.00102327023
2020-09-02,1638.28716621671
2020-09-09,1646.70268016742
2020-09-16,1649.0376878802
2020-09-23,1646.08231211288
2020-09-30,1638.62667562331
2020-10-07,1627.46090116931
2020-10-14,1613.37511150872
2020-10-21,1597.15942939939
2020-11-04,1579.60397759914
2020-11-11,1561.49335400121
2020-11-18,1543.59005704046
2020-11-25,1526.65106028713
2020-12-02,1511.43333731149
2020-12-11,1498.69386168378
2020-12-16,1489.05965387502
2020-12-23,1482.63792195924
2020-12-30,1479.32110145663
2021-01-08,1478.66235006897
2021-01-13,1480.13000604343
2021-01-20,1483.19240762717
2021-01-27,1487.31789306738
2021-02-03,1491.93096524658
2021-02-10,1496.26230963364
2021-02-17,1499.42487251245
2021-02-24,1500.51312421179
2021-03-03,1498.78574425302
2021-03-10,1494.24628939041
2021-03-17,1487.47331326112
2021-03-24,1479.43133991849
2021-03-31,1471.39722563948
2021-04-07,1464.71125329716
2021-04-14,1460.71370576457
2021-04-21,1460.74486591478
2021-04-28,1466.04528376513
2021-05-05,1477.2642079446
2021-05-12,1494.18167436391
2021-05-19,1516.38534896818
2021-05-26,1543.46289770251
2021-06-02,1575.00198651202
2021-06-09,1610.59028134181
2021-06-16,1649.81544813699
2021-06-25,1692.19809478716
2021-06-30,1736.9905969598
2021-07-07,1783.36752019993
2021-07-14,1830.46042178462
2021-07-23,1877.39010692395
2021-07-28,1923.27738082803
2021-08-04,1967.24304870695
2021-08-11,2008.40791577081
2021-08-18,2045.89278722968
2021-08-25,2078.93587968753
2021-09-01,2107.38822232806
2021-09-08,2131.79092374627
2021-09-15,2152.82825954152
2021-09-22,2171.18450531319
2021-09-29,2187.54393666065
2021-10-06,2202.59082918326
2021-10-13,2216.90068462347
2021-10-20,2230.61390929605
2021-10-27,2243.76213565886
2021-11-03,2256.37699616974
2021-11-19,2268.49012328654
2021-11-24,2280.13314946713
2021-12-01,2291.33770716934
2021-12-10,2301.87784993349
2021-12-15,2310.49731562974
2021-12-22,2315.89690889767
2021-12-29,2317.8042389766
2022-01-05,2316.83444820088
2022-01-12,2313.77090075683
2022-01-19,2309.40280610936
2022-01-26,2304.54275483762
2022-02-02,2300.00918279932
2022-02-09,2296.62052585217
2022-02-16,2295.10084466204
2022-02-23,2295.79669912743
2022-03-02,2298.96027395496
2022-03-09,2304.84375385129
2022-03-16,2313.69932352305
2022-03-23,2325.77916767688
2022-04-01,2341.33547101943
2022-04-06,2360.53091224003
2022-04-13,2383.13196702306
2022-04-20,2408.66288929254
2022-04-27,2436.60975403676
2022-05-04,2466.45863624399
2022-05-11,2497.6956109025
2022-05-18,2529.80675300056
2022-05-25,2562.27813752646
2022-06-01,2594.59583946847
2022-06-08,2626.24593381486
2022-06-15,2656.74567560267
2022-06-22,2685.73704006401
2022-06-29,2712.93794077999
2022-07-06,2738.24532453274
2022-07-13,2761.60089640466
2022-07-22,2782.94636147814
2022-07-27,2802.22342483556
2022-08-03,2819.37379155932
2022-08-10,2834.3391667318
2022-08-17,2847.06125543539
2022-08-26,2857.48176275248
2022-08-31,2865.54239376547
2022-09-07,2871.18485355673
2022-09-14,2874.35084720866
2022-09-21,2874.98207980365
2022-09-28,2873.02025642409
2022-10-05,2868.40708215236
2022-10-12,2861.08426207086
2022-10-19,2850.99350126197
2022-10-28,2838.14874913484
2022-11-02,2822.85293240563
2022-11-09,2805.48122211724
2022-11-16,2786.40878931259
